City,Lat,Lngs,Temp,Humidity,Cloudiness,Wind Speed
mbandaka,0.05,18.26,72.01,94,95,1.63
bam,29.11,58.36,61.59,29,88,4.25
rach gia,10.02,105.08,84.2,74,0,5.82
rutul,41.54,47.42,35.6,80,20,9.17
bengkulu,-3.8,102.27,77.14,88,100,5.64
raudeberg,61.99,5.14,42.01,87,84,13.35
ambon,-3.7,128.18,93.2,56,40,5.82
mar del plata,-38,-57.56,65.21,82,0,10.29
vrangel,42.73,133.08,26.96,79,0,13.98
chipinge,-20.19,32.62,64.38,98,86,5.68
lamu,-2.27,40.9,82.4,83,1,3.36
quiindy,-25.97,-57.27,75.16,81,0,4.7
la plata,-34.92,-57.95,76.44,62,0,1.99
eha amufu,6.66,7.76,74.01,92,3,3.29
novikovo,51.15,37.89,36.39,90,100,4.9
sosnovo-ozerskoye,52.52,111.54,5.07,92,89,8.55
koppa,13.53,75.36,72.41,70,7,5.59
gualeguay,-33.14,-59.31,70.79,53,31,12.03
kenai,60.55,-151.26,25.45,92,90,5.57
gejiu,23.31,103.16,56.39,78,54,5.06
avera,33.19,-82.53,55.42,87,1,3.58
batagay,67.63,134.63,-10.75,89,100,0.92
constitucion,-35.33,-72.42,52.93,83,0,11.54
ancud,-41.87,-73.82,50.14,100,90,5.82
san jeronimo,-11.95,-75.28,49.6,71,77,3.18
ayan,56.45,138.17,10.6,85,100,16.58
tamandare,-8.76,-35.1,76.96,74,85,9.84
garowe,8.41,48.48,69.13,74,55,12.91
nome,64.5,-165.41,20.84,73,90,9.17
dongsheng,39.82,109.98,22.66,88,0,11.1
provideniya,64.38,-173.3,21.87,91,66,6.76
rio gallegos,-51.62,-69.22,42.8,52,0,24.16
anori,-3.77,-61.64,73.53,95,72,1.14
shimoni,-4.65,39.38,78.42,84,1,4.76
arman,59.7,150.17,7.57,85,94,12.12
bogorodskoye,56.55,37.88,29.16,99,98,5.46
churapcha,62,132.43,-9.4,90,100,2.39
taltal,-25.4,-70.48,59.11,78,0,0.6
vila franca do campo,37.72,-25.43,55.4,58,75,17.22
vao,-22.67,167.48,73.2,73,39,16.87
tura,25.52,90.22,76.24,48,5,0.98
saint-pierre,-21.34,55.48,74.88,57,0,10.29
krasnoselkup,65.7,82.47,0.79,93,100,8.19
sovetskiy,61.36,63.58,9.36,96,19,2.91
mwense,-10.38,28.7,66.61,91,100,2.8
kibondo,-3.59,30.72,59.88,97,36,1.19
den helder,52.96,4.76,41.29,100,90,11.41
orotukan,62.27,151.7,-8.84,88,99,3.36
uniontown,39.9,-79.72,42.87,63,100,4.76
caravelas,-17.71,-39.25,72.5,90,49,4.81
calamar,10.25,-74.91,80.6,100,40,5.82
nanortalik,60.14,-45.24,32.02,98,100,7.52
port lincoln,-34.73,135.87,73.36,60,100,9.22
kahului,20.89,-156.47,73.02,57,40,14.99
mandurah,-32.55,115.7,71.55,35,0,9.17
horodok,49.16,26.58,37,82,100,3
hervey bay,-25.3,152.85,84.34,42,0,10.29
koshki,54.21,50.47,20.53,97,100,12.88
chittur,10.7,76.75,75.2,83,75,5.82
malya,-2.98,33.52,67.33,85,60,4.54
fort nelson,58.81,-122.7,8.6,92,20,1.79
lunca cernii de jos,45.63,22.62,29.32,97,77,1.74
shirokiy,49.76,129.52,11.93,90,4,11.61
sao joao da barra,-21.64,-41.05,73.65,89,0,10.16
ateli,28.1,76.28,66.16,34,0,9.04
galveston,29.37,-94.97,67.86,88,90,11.41
lata,40.16,-8.33,49.82,93,36,4.7
ponta delgada,37.73,-25.67,55.4,58,75,17.22
wenling,28.37,121.36,60.01,64,92,17.09
abdanan,32.99,47.42,52.92,88,100,2.59
havoysund,71,24.66,39.2,69,85,16.11
pudozh,61.81,36.53,20.59,97,73,6.22
beloha,-25.17,45.05,76.89,72,60,11.1
byron bay,-28.65,153.62,85.89,61,24,19.46
barao de melgaco,-16.19,-55.97,78.8,74,0,4.7
kaitangata,-46.28,169.85,55.99,71,78,13
sao filipe,14.9,-24.5,75.11,71,61,12.93
vanimo,-2.67,141.3,84.34,78,100,5.88
mokhsogollokh,61.47,128.92,-1.57,89,100,6.96
oranjestad,12.52,-70.03,80.6,83,40,12.75
dinuba,36.54,-119.39,44.19,75,1,3.36
klyuchi,52.27,79.17,13.62,92,17,7.52
kushima,31.46,131.23,58.91,44,40,14.99
balabac,7.99,117.06,85.35,71,73,8.75
pangody,65.85,74.49,-0.94,93,79,7.07
bor,56.36,44.07,32,98,90,6.71
manzhouli,49.6,117.43,8.6,89,0,8.08
celina,40.55,-84.57,43.65,81,90,5.82
egvekinot,66.32,-179.17,15.01,93,80,17.2
rocha,-34.48,-54.33,59.27,95,0,9.78
tezu,27.92,96.17,76.73,36,45,2.86
noyabrsk,63.2,75.45,-1.35,93,40,3.85
kailua,21.4,-157.74,75.97,69,20,21.92
northam,51.03,-4.22,47.01,95,92,1.99
la ronge,55.1,-105.28,26.6,68,40,8.05
hasaki,35.73,140.83,62.58,48,20,9.17
north myrtle beach,33.82,-78.68,56.05,87,1,6.15
nabire,-3.37,135.48,85.91,67,100,1.07
denpasar,-8.65,115.22,87.8,70,40,6.93
yambio,4.57,28.4,69.06,72,56,1.3
gobabis,-22.45,18.97,71.6,53,63,2.24
te anau,-45.42,167.72,52.63,53,89,11.23
aksha,50.28,113.29,14.45,81,0,6.64
petropavlovsk-kamchatskiy,53.05,158.65,30.2,68,40,8.95
iralaya,15,-83.23,77.4,85,13,5.91
salinas,36.68,-121.66,47.75,70,1,3.36
atar,20.52,-13.05,63.45,48,92,7.92
lianzhou,24.78,112.38,61.12,51,42,8.39
barra do garcas,-15.89,-52.26,73.74,67,2,2.04
broken hill,-31.95,141.43,111.2,9,0,23.04
rosa zarate,0.33,-79.47,73.17,83,92,2.95
rio claro,-22.41,-47.56,68.5,85,83,2.44
kuala sungai baru,2.36,102.04,82.2,78,40,6.93
vrede,-27.43,29.17,58.77,82,100,8.37
fomboni,-12.28,43.74,81.16,78,0,8.63
dire,12.28,-10.97,66.34,26,0,1.45
iqaluit,63.75,-68.51,23,85,75,17.22
ilulissat,69.22,-51.1,12.2,43,0,6.93
shetpe,44.17,52.12,29.64,95,0,10.98
gagatli,42.8,46.29,26.26,74,0,2.8
tilichiki,60.47,166.1,-2.15,94,98,9.86
assiniboia,49.63,-105.98,30.2,80,38,13.87
airai,-8.93,125.41,82.2,42,18,4.03
beian,63.66,9.57,32.65,86,0,14.99
muravlenko,63.79,74.52,-0.62,93,16,4.65
winnemucca,40.97,-117.74,26.6,73,1,8.05
mudbidri,13.08,74.98,78.8,61,0,6.93
katsuura,35.13,140.3,61.95,44,20,21.92
ati,13.22,18.34,68.29,25,0,8.08
inirida,3.87,-67.92,75.45,89,100,2.01
tisul,55.76,88.31,9.1,92,0,5.75
bac lieu,9.29,105.72,84.52,65,46,4.43
mizdah,31.45,12.98,54.55,55,0,13.13
camacha,33.08,-16.33,62.6,67,40,16.11
ahipara,-35.17,173.17,63.43,59,0,11.07
gamba,-2.65,10,74.71,95,100,2.57
yuci,37.68,112.73,32,78,100,2.24
olinda,-8.01,-34.86,77,65,40,9.17
metro,-5.11,105.31,86.54,63,50,4.34
kisangani,0.52,25.2,69.33,96,78,0.6
lasa,46.62,10.7,28.4,86,5,4.7
gallup,35.53,-108.74,30.6,98,90,4.7
lazaro cardenas,17.96,-102.2,77.52,83,13,1.14
rapid valley,44.06,-103.15,30.61,58,1,3.36
faya,18.39,42.45,53.6,87,20,4.7
marmande,44.5,0.17,50.41,93,89,4
grindavik,63.84,-22.43,35.6,64,75,28.86
asau,46.43,26.4,30.99,94,93,2.57
bosconia,9.97,-73.88,74.26,92,100,2.13
rockhampton,-23.38,150.5,86,37,0,10.29
matagami,49.75,-77.63,14,100,1,4.7
zhongshu,24.52,103.77,55,74,99,4.81
neiafu,-18.65,-173.98,77,94,75,8.05
lorengau,-2.02,147.27,84.7,73,99,5.28
kloulklubed,7.04,134.26,87.8,70,75,9.17
oktyabrskoye,43.06,44.74,17.6,100,0,2.24
outram,1.28,103.84,79.41,88,75,2.42
gushi,34.64,109.58,40.1,72,100,3.38
srednekolymsk,67.45,153.68,-4.63,92,100,6.87
victoria,22.29,114.16,68.54,66,85,1.99
aykhal,66,111.5,1.4,84,75,2.24
novyy urgal,51.07,132.56,4.28,85,99,1.54
san-pedro,4.75,-6.64,74.64,92,33,3.24
carutapera,-1.2,-46.02,76.21,89,100,4.23
floro,61.6,5.03,42.8,70,90,12.75
salalah,17.02,54.09,71.6,68,20,5.82
kyenjojo,0.63,30.62,59.79,95,0,0.6
vardo,70.37,31.11,26.6,86,75,5.82
cockburn town,21.46,-71.14,78.04,74,39,14.12
pacific grove,36.62,-121.92,47.66,61,1,3.36
zharkent,44.16,80,38.08,71,100,1.9
chitungwiza,-18.01,31.08,63,87,76,1.99
vestmannaeyjar,63.44,-20.27,39.34,70,86,29.15
vila velha,-20.33,-40.29,73.4,94,75,2.24
huarmey,-10.07,-78.15,67.05,74,99,4.74
banff,51.18,-115.57,38.5,35,94,9.17
hofn,64.25,-15.21,36.32,75,0,16.64
taybad,34.74,60.78,40.44,79,100,16.96
alihe,50.57,123.72,18.05,78,0,9.84
ocos,14.51,-92.19,71.94,100,75,6.93
santa cruz,-17.8,-63.17,71.6,94,75,3.36
harindanga,22.04,88.32,71.6,68,20,10.29
tahta,26.77,31.5,50.94,66,0,5.82
sobolevo,54.43,31.9,32.04,98,76,6.02
zhangye,38.93,100.45,32.49,76,0,3.36
zhanaozen,43.3,52.8,29.26,95,0,11.79
tromso,69.65,18.96,40.46,65,0,25.28
sanchez,19.23,-69.61,72.95,91,24,4.38
zemio,5.03,25.14,68.45,58,3,2.08
labuhan,-6.88,112.21,87.15,61,8,6.15
portland,45.52,-122.68,38.05,93,90,8.05
turan,16.07,108.22,75.2,83,75,12.75
vestmanna,62.16,-7.17,41,86,87,10.29
bilma,18.69,12.92,64.04,29,0,5.35
makakilo city,21.35,-158.09,76.42,69,75,5.82
puyang,29.46,119.89,47.21,78,100,5.64
grand gaube,-20.01,57.66,75.99,75,0,11.99
carballo,43.21,-8.69,48.2,100,0,8.05
kimbe,-5.55,150.14,87.17,68,25,3.89
vuktyl,63.86,57.31,9.73,93,0,2.24
leshukonskoye,64.9,45.76,15.21,96,41,4.63
qaqortoq,60.72,-46.03,30.2,54,100,19.46
tuatapere,-46.13,167.68,55.99,68,100,5.99
buala,-8.14,159.59,86.29,66,100,5.14
saint-augustin,51.23,-58.65,36.12,90,98,3.91
malpe,13.35,74.72,78.8,61,0,6.93
mao,39.89,4.27,64.4,77,75,12.75
nishihara,26.18,127.76,71.6,60,40,26.4
karratha,-20.74,116.85,91.47,44,74,17.18
moron,-34.65,-58.62,78.87,49,1,5.99
asha,55,57.27,14.49,95,8,1.25
port angeles,48.12,-123.43,46.53,87,75,11.41
castrillon,43.4,-6.79,42.76,81,0,1.12
chibuto,-24.69,33.53,72.77,87,100,8.63
najran,17.49,44.13,57.2,44,0,1.12
rochester,43.15,-77.62,43.99,87,90,3.36
college,64.86,-147.8,12.96,85,75,4.41
shimoda,34.67,138.95,60.48,48,75,9.17
bijie,27.31,105.29,38.93,83,100,5.35
wanning,18.8,110.4,72.61,79,98,18.12
esperance,-33.87,121.9,62.6,63,75,12.75
oulainen,64.27,24.8,24.01,94,61,3.15
la grande,45.32,-118.09,34.92,69,1,20.8
dunedin,-45.87,170.5,55.74,64,100,4
banda aceh,5.56,95.32,83.05,69,100,8.93
waingapu,-9.66,120.26,88.36,65,44,9.04
witu,-2.39,40.44,82.4,83,1,3.36
birchis,45.97,22.17,32,96,90,1.12
uyutne,45.2,33.3,50.94,81,25,13.65
seoul,37.57,126.98,36.68,34,1,9.53
barinitas,8.76,-70.41,69.69,84,91,3.74
katobu,-4.94,122.53,87.69,65,100,6.42
hazorasp,41.32,61.07,33.8,74,90,6.93
barra do bugres,-15.07,-57.18,72.1,84,55,2.68
mahajanga,-15.72,46.32,86,74,20,4.7
bismil,37.85,40.67,43.7,93,75,3.36
young,-32.68,-57.63,68.68,72,4,12.77
rehoboth,-23.32,17.08,68.18,32,54,6.31
hanchuan,30.65,113.77,44.6,93,90,4.47
aksarka,66.56,67.8,1.33,93,27,9.44
luanda,-8.84,13.23,78.8,83,75,6.93
mudgee,-32.59,149.59,96.64,24,92,19.46
matara,5.95,80.54,84.58,65,54,1.54
bloomington,44.84,-93.3,31.6,83,20,8.05
causapscal,48.35,-67.23,33.01,1,88,1.7
puerto baquerizo moreno,-0.9,-89.6,69.85,84,39,8.86
andra,62.51,65.89,7.07,94,0,2.3
pravda,46.94,142.01,26.6,58,40,6.71
placido de castro,-10.34,-67.19,75.99,88,58,0.43
emerald,-23.53,148.17,90.23,29,0,14.99
zyryanovsk,49.74,84.27,15.06,87,37,0.83
blagoyevo,63.37,47.92,13.24,96,0,4.32
yerbogachen,61.28,108.01,-6.75,90,81,2.33
grand-santi,4.25,-54.38,73.56,90,22,3.18
roma,43.21,-75.46,42.78,81,90,3.36
khorramabad,33.49,48.36,50.16,71,100,5.93
itupiranga,-5.13,-49.33,74.82,81,99,1.34
sabana grande de boya,18.95,-69.79,73.04,100,20,3.36
linxia,35.6,103.21,33.48,86,24,2.42
port hedland,-20.32,118.57,96.8,41,3,12.75
praia da vitoria,38.73,-27.07,55.78,93,75,23.6
taoudenni,22.68,-3.98,58.14,36,44,7.29
culiacan,24.8,-107.39,72.12,64,40,6.93
sungairaya,0.7,108.9,87.22,59,92,2.26
horadiz,39.45,47.34,41,93,90,4.7
svetlyy,54.67,20.13,33.8,82,40,6.71
cabedelo,-6.98,-34.83,77,78,40,4.7
norden,53.6,7.2,38.14,100,12,5.82
altay,47.87,88.12,22.35,78,14,3.31
manyana,-23.4,21.72,73.69,58,26,3.89
bongandanga,1.5,21.05,71.46,93,99,1.63
porto novo,6.5,2.6,77.47,87,95,4.59
akcakoca,41.09,31.12,48.61,50,0,4.41
merida,20.97,-89.62,75.6,88,75,5.82
pafos,34.77,32.42,55.4,71,20,9.17
labuan,5.28,115.24,82.2,78,40,9.17
vaitape,-16.52,-151.75,82.33,69,46,1.01
narva-joesuu,59.46,28.04,36.55,82,97,14.43
woodway,31.51,-97.2,56.32,67,90,8.05
itacoatiara,-3.14,-58.44,75.33,91,45,1.52
qui nhon,13.77,109.23,76.19,89,100,25.26
fairbanks,64.84,-147.72,13.14,85,75,4.23
beatrice,40.27,-96.75,34.95,69,1,5.82
